subjectURI,brick_class,relation,objectURI,brick_class
FCU1,FCU,feeds,Zone1,HVAC_Zone
FCU2,FCU,feeds,Zone1,HVAC_Zone
FCU3,FCU,feeds,Zone1,HVAC_Zone
FCU4,FCU,feeds,Zone1,HVAC_Zone
FCU5,FCU,feeds,Zone1,HVAC_Zone
Furnace1,HVAC_Equipment,feeds,Zone1,HVAC_Zone
Furnace2,HVAC_Equipment,feeds,Zone1,HVAC_Zone
Furnace1,HVAC_Equipment,hasPart,Boiler1,Boiler
Furnace1,HVAC_Equipment,hasPart,Fan1,Fan
Furnace1,HVAC_Equipment,hasPart,HeatEx1,Heat_Exchanger
Furnace2,HVAC_Equipment,hasPart,Boiler2,Boiler
Furnace2,HVAC_Equipment,hasPart,Fan2,Fan
Furnace2,HVAC_Equipment,hasPart,HeatEx2,Heat_Exchanger
Boiler1,Boiler,feeds,HeatEx1,Heat_Exchanger
HeatEx1,Heat_Exchanger,feeds,Fan1,Fan
Boiler2,Boiler,feeds,HeatEx2,Heat_Exchanger
HeatEx2,Heat_Exchanger,feeds,Fan2,Fan
Bldg,Building,hasPart,Office,Office
Bldg,Building,hasPart,AdminSpace,Space
Zone1,HVAC_Zone,hasPart,Office,Office
Zone1,HVAC_Zone,hasPart,AdminSpace,Space
