Point Name,Volttron Point Name,Units,Type,Writable,Readable,Default Value,Notes
hvacMode,hvacMode,seconds,setting,True,True,,
humidity,humidity,%,setting,False,True,,
desiredCool,desiredCool,degF,hold,False,True,,
desiredHeat,desiredHeat,degF,hold,False,True,,
actualTemperature,actualTemperature,degF,hold,False,True,,
actualHumidity,actualHumidity,%,hold,False,True,,
rawTemperature,rawTemperature,degF,hold,False,True,,
desiredFanMode,desiredFanMode,string,hold,False,True,,
desiredHeatRange,desiredHeatRange,range,hold,False,True,,

desiredCoolRange,desiredCoolRange,range,hold,False,True,,
heatStages,heatStages,quantity,setting,False,True,,
heatPump1,heatPump1,seconds,setting,False,True,,
heatPump2,heatPump2,seconds,setting,False,True,,
auxHeat1,auxHeat1,seconds,setting,False,True,,
auxHeat2,auxHeat2,seconds,setting,False,True,,
auxHeat3,auxHeat3,seconds,setting,False,True,,
cool1,cool1,seconds,setting,False,True,,
cool2,cool2,seconds,setting,False,True,,
fan,fan,seconds,setting,False,True,,
economizer,economizer,seconds,setting,False,True,,
ventilator,ventilator,seconds,setting,False,True,,

stage1HeatingDifferentialTemp,stage1HeatingDifferentialTemp,degF,setting,True,True,,
stage1CoolingDifferentialTemp,stage1CoolingDifferentialTemp,degF,setting,True,True,,
stage1HeatingDissipationTime,stage1HeatingDissipationTime,seconds,setting,True,True,,
stage1CoolingDissipationTime,stage1CoolingDissipationTime,seconds,setting,True,True,,
